customer_id,customer_type,first_transaction,last_transaction,transaction_count,total_amount,avg_amount
40,regular,2023-10-29,2024-04-15,4,174.42,43.61
41,regular,2023-05-09,2024-04-17,5,490.89,98.18
42,regular,2023-01-04,2024-11-20,4,257.1,64.27
43,regular,2023-08-30,2024-08-06,7,405.87,57.98
44,regular,2023-10-23,2024-11-05,5,299.57,59.91
45,regular,2023-06-07,2024-09-13,5,366.57,73.31
46,premium,2023-01-19,2024-11-25,30,5400.81,180.03
47,regular,2023-01-07,2024-11-18,8,493.94,61.74
48,regular,2023-02-04,2024-09-29,7,264.48,37.78
49,regular,2023-11-11,2024-11-03,4,126.28,31.57
50,regular,2023-05-24,2024-11-13,9,662.48,73.61
51,regular,2023-07-03,2024-07-29,6,166.17,27.69
52,regular,2023-02-28,2024-11-15,9,255.16,28.35
53,regular,2023-06-08,2024-09-02,6,463.51,77.25
54,regular,2023-04-22,2024-08-17,8,511.79,63.97
55,premium,2023-01-27,2024-11-24,24,3481.27,145.05
56,premium,2023-01-10,2024-11-01,24,3827.2,159.47
57,regular,2023-02-08,2023-08-26,3,172.36,57.45
58,vip,2023-02-12,2024-10-03,33,18136.86,549.6
59,regular,2023-06-20,2024-11-02,9,484.09,53.79
60,regular,2023-01-25,2024-10-15,5,262.71,52.54
61,regular,2023-03-23,2024-09-08,6,247.13,41.19
62,regular,2023-02-05,2024-09-23,7,480.26,68.61
63,regular,2023-08-20,2024-05-28,3,111.9,37.3
64,regular,2023-05-05,2024-09-09,7,455.61,65.09
65,premium,2023-01-04,2024-07-12,19,3476.06,182.95
66,premium,2023-02-28,2024-07-28,16,2135.05,133.44
67,regular,2023-04-23,2024-08-15,7,473.78,67.68
68,regular,2023-04-20,2024-11-07,11,746.65,67.88
69,regular,2024-01-13,2024-11-08,6,232.99,38.83
70,regular,2023-04-05,2024-07-13,9,387.15,43.02
71,regular,2023-03-20,2024-06-17,8,80.0,10.0
72,regular,2023-06-13,2024-09-18,3,244.29,81.43
73,premium,2023-02-11,2024-11-05,30,3039.07,101.3
74,premium,2023-01-18,2024-09-16,20,2447.05,122.35
75,regular,2023-01-31,2023-11-11,5,401.23,80.25
76,premium,2023-02-06,2024-10-17,18,2776.82,154.27
77,premium,2023-01-21,2024-09-26,24,2732.59,113.86
78,regular,2023-02-07,2024-11-01,5,189.7,37.94
79,regular,2023-02-01,2024-05-17,5,164.46,32.89
80,regular,2023-01-08,2023-09-30,4,46.81,11.7
81,regular,2023-05-19,2024-10-17,7,333.31,47.62
82,premium,2023-01-30,2024-10-28,25,2692.4,107.7
83,premium,2023-01-18,2024-07-02,19,2486.48,130.87
84,regular,2023-02-28,2024-07-26,5,161.68,32.34
85,regular,2023-02-02,2024-04-27,7,145.57,20.8
86,regular,2023-01-12,2024-09-24,4,284.0,71.0
87,regular,2023-07-17,2024-08-03,9,282.42,31.38
88,regular,2023-01-16,2024-11-26,7,543.19,77.6
89,regular,2023-05-30,2023-05-30,1,55.01,55.01
90,regular,2023-12-05,2024-09-13,3,55.37,18.46
91,regular,2023-11-13,2024-06-18,2,80.37,40.19
92,regular,2023-01-27,2024-04-10,5,309.86,61.97
93,regular,2023-03-07,2024-11-15,9,442.01,49.11
94,regular,2023-01-06,2024-11-14,9,510.02,56.67
95,premium,2023-02-17,2024-11-24,20,2704.62,135.23
96,regular,2023-04-03,2024-07-31,5,309.31,61.86
97,regular,2023-02-22,2024-09-09,7,403.2,57.6
98,regular,2023-01-10,2024-11-01,10,696.5,69.65
99,regular,2023-01-24,2024-11-12,4,196.42,49.11
100,regular,2023-01-29,2024-04-06,4,105.58,26.39
101,regular,2023-05-06,2024-11-19,5,283.75,56.75
102,regular,2023-01-12,2024-08-28,12,772.17,64.35
103,regular,2023-04-19,2024-09-04,8,277.23,34.65
104,regular,2023-07-22,2024-02-21,3,185.48,61.83
105,regular,2023-01-16,2023-12-06,5,237.86,47.57
106,regular,2023-06-09,2024-10-20,4,204.74,51.19
107,regular,2023-02-05,2024-10-26,5,262.34,52.47
108,regular,2023-01-16,2024-11-26,7,459.53,65.65
109,regular,2023-08-11,2024-10-15,5,110.03,22.01
110,regular,2023-09-02,2024-11-05,7,357.22,51.03
111,regular,2023-05-08,2024-09-29,3,199.84,66.61
112,regular,2023-06-20,2024-07-09,4,182.26,45.57
113,regular,2023-05-03,2024-09-06,5,232.15,46.43
114,regular,2023-10-10,2024-08-11,6,373.94,62.32
115,regular,2023-03-28,2024-09-09,8,356.77,44.6
116,premium,2023-01-07,2024-10-19,16,2774.97,173.44
117,regular,2023-01-03,2023-11-03,7,359.76,51.39
118,premium,2023-02-01,2024-11-06,20,2839.82,141.99
119,regular,2023-01-25,2024-09-12,7,151.43,21.63
120,regular,2023-02-16,2024-11-16,8,103.07,12.88
121,regular,2024-01-15,2024-11-20,7,434.91,62.13
122,premium,2023-01-03,2024-11-02,21,2622.26,124.87
123,regular,2024-03-16,2024-09-26,3,148.04,49.35
124,regular,2023-11-25,2024-01-18,2,69.54,34.77
125,regular,2023-05-01,2024-04-21,6,323.78,53.96
126,premium,2023-01-12,2024-07-21,19,3053.93,160.73
127,regular,2023-08-30,2024-10-02,4,170.29,42.57
128,premium,2023-01-02,2024-11-13,24,3443.34,143.47
129,regular,2023-08-27,2024-10-15,7,558.46,79.78
130,regular,2023-02-06,2024-10-13,10,416.4,41.64
131,premium,2023-02-28,2024-10-08,12,1677.95,139.83
132,regular,2023-08-14,2024-05-21,4,318.94,79.73
133,regular,2023-07-26,2023-09-08,2,109.19,54.6
134,premium,2023-01-09,2024-11-09,12,2032.13,169.34
135,regular,2023-02-23,2024-09-12,13,1113.61,85.66
136,regular,2023-08-04,2024-09-30,3,167.72,55.91
137,regular,2023-03-10,2024-06-09,7,292.48,41.78
138,regular,2023-01-14,2024-10-16,11,381.09,34.64
139,regular,2023-05-27,2024-11-21,4,192.75,48.19
140,premium,2023-03-29,2024-09-15,18,2828.28,157.13
141,regular,2023-02-05,2024-09-18,8,728.25,91.03
142,premium,2023-01-04,2024-11-19,21,2988.29,142.3
143,regular,2023-09-09,2024-06-17,3,119.55,39.85
144,regular,2023-06-14,2024-07-04,5,216.13,43.23
145,regular,2023-01-22,2024-09-23,7,403.96,57.71
146,regular,2023-11-05,2024-05-21,3,134.3,44.77
147,premium,2023-02-08,2024-11-21,14,1905.28,136.09
148,premium,2023-06-16,2024-11-02,18,2569.89,142.77
149,premium,2023-02-24,2024-11-15,23,3411.85,148.34
150,regular,2023-02-28,2024-11-18,7,315.3,45.04
151,regular,2023-03-31,2024-11-23,10,328.67,32.87
152,premium,2023-01-09,2024-11-15,14,2515.7,179.69
153,regular,2023-08-05,2024-07-27,7,468.27,66.9
154,regular,2023-03-22,2024-10-15,5,177.39,35.48
155,regular,2023-03-27,2024-11-19,9,311.02,34.56
156,premium,2023-01-12,2024-11-07,22,2341.72,106.44
157,vip,2023-02-02,2024-10-27,43,25044.77,582.44
158,regular,2023-03-31,2024-08-21,6,371.97,61.99
159,regular,2023-02-04,2024-10-05,5,251.34,50.27
160,regular,2023-12-23,2024-09-21,4,176.23,44.06
161,regular,2023-01-31,2024-03-06,7,320.8,45.83
162,regular,2023-07-29,2024-09-20,7,424.76,60.68
163,regular,2023-02-03,2024-11-13,7,339.01,48.43
164,premium,2023-01-05,2024-09-24,18,3024.73,168.04
165,regular,2023-03-09,2024-09-30,6,144.22,24.04
166,regular,2023-06-15,2024-10-23,3,158.44,52.81
167,regular,2023-02-08,2024-10-13,10,481.02,48.1
168,premium,2023-01-28,2024-11-19,24,2961.8,123.41
169,premium,2023-01-09,2024-11-20,13,2264.54,174.2
170,premium,2023-01-07,2024-11-24,15,2694.32,179.62
171,regular,2023-05-31,2024-08-21,7,408.83,58.4
172,regular,2023-04-06,2023-12-16,3,69.53,23.18
173,regular,2023-02-06,2024-07-18,7,495.75,70.82
174,regular,2023-06-02,2024-09-29,5,296.52,59.3
175,regular,2023-06-25,2024-10-06,8,293.4,36.68
176,premium,2023-03-27,2024-11-17,29,3012.93,103.89
177,regular,2023-03-17,2023-05-29,3,177.49,59.16
178,regular,2023-01-27,2024-11-26,10,685.52,68.55
179,premium,2023-01-02,2024-08-25,16,2273.5,142.09
180,premium,2023-01-04,2024-10-12,18,2766.38,153.69
181,regular,2023-05-02,2024-01-31,5,103.06,20.61
182,premium,2023-01-23,2024-09-17,20,1466.25,73.31
183,regular,2023-03-07,2024-07-01,6,301.78,50.3
184,regular,2023-02-05,2024-08-07,9,347.71,38.63
185,regular,2023-05-14,2024-10-01,6,384.75,64.12
186,premium,2023-01-10,2024-11-14,23,3867.2,168.14
187,regular,2023-01-04,2024-06-11,4,269.71,67.43
188,regular,2023-02-03,2024-11-16,6,229.78,38.3
189,regular,2023-01-03,2024-04-15,5,136.76,27.35
190,premium,2023-01-11,2024-09-25,28,4965.78,177.35
191,premium,2023-01-29,2024-11-08,20,1914.53,95.73
192,premium,2023-02-13,2024-10-01,19,3029.12,159.43
193,regular,2023-01-13,2024-05-13,4,98.27,24.57
194,premium,2023-01-27,2024-11-10,28,2371.69,84.7
195,regular,2023-02-08,2024-11-26,8,343.53,42.94
196,premium,2023-01-09,2024-10-13,21,2135.4,101.69
197,regular,2023-05-30,2024-10-01,8,566.87,70.86
198,regular,2023-08-21,2024-08-28,3,146.28,48.76
199,regular,2023-03-12,2024-06-14,5,337.98,67.6
200,regular,2023-07-02,2024-08-27,5,258.55,51.71
201,regular,2023-05-12,2024-05-24,2,83.88,41.94
202,regular,2023-03-27,2024-11-24,7,325.53,46.5
203,premium,2023-03-09,2024-10-09,23,3491.93,151.82
204,regular,2023-09-29,2024-11-13,5,271.45,54.29
205,regular,2023-02-19,2024-04-21,3,98.95,32.98
206,regular,2023-02-01,2023-10-20,5,406.45,81.29
207,regular,2023-06-10,2024-04-25,4,258.09,64.52
208,regular,2023-04-27,2024-11-20,7,389.66,55.67
209,premium,2023-01-21,2024-11-06,16,2236.27,139.77
210,regular,2023-07-21,2024-09-29,2,63.91,31.95
211,premium,2023-01-15,2024-11-15,17,2613.49,153.73
212,regular,2023-01-06,2024-06-08,6,256.27,42.71
213,premium,2023-01-14,2024-11-01,20,2331.17,116.56
214,regular,2023-01-15,2024-09-05,3,173.41,57.8
215,premium,2023-01-09,2024-10-08,17,2065.76,121.52
216,regular,2023-09-11,2024-10-07,5,264.74,52.95
217,vip,2023-01-16,2024-11-07,34,18782.6,552.43
218,premium,2023-01-10,2024-11-11,21,3558.0,169.43
219,premium,2023-01-04,2024-11-20,23,2961.3,128.75
220,regular,2023-03-04,2024-11-01,7,258.99,37.0
221,premium,2023-01-04,2024-10-21,18,2453.2,136.29
222,premium,2023-01-22,2024-11-12,20,3244.4,162.22
223,regular,2023-01-10,2024-09-25,5,90.5,18.1
224,regular,2023-11-26,2023-11-26,1,21.94,21.94
225,regular,2023-03-19,2024-08-14,10,495.49,49.55
226,regular,2023-05-08,2024-11-18,15,546.78,36.45
227,regular,2023-01-08,2024-06-16,5,148.36,29.67
228,regular,2023-02-09,2024-08-16,10,378.03,37.8
229,regular,2023-11-30,2024-10-11,4,345.95,86.49
230,regular,2023-03-03,2024-07-14,6,408.14,68.02
231,vip,2023-01-07,2024-10-24,43,26735.5,621.76
232,premium,2023-01-26,2024-11-16,19,1814.41,95.5
233,regular,2023-06-16,2024-11-17,8,321.54,40.19
234,regular,2023-11-06,2024-10-12,5,298.6,59.72
235,premium,2023-02-01,2024-11-15,28,4266.64,152.38
236,regular,2023-04-13,2024-09-17,6,224.75,37.46
237,regular,2023-10-28,2024-07-02,4,115.45,28.86
238,regular,2023-02-02,2024-01-21,4,316.7,79.18
239,regular,2023-05-23,2024-07-12,4,103.66,25.91
240,premium,2023-02-20,2024-10-10,22,3663.6,166.53
241,premium,2023-01-18,2024-09-23,25,3408.77,136.35
242,regular,2023-02-15,2024-08-20,5,206.16,41.23
243,regular,2023-04-21,2024-11-26,7,430.3,61.47
244,regular,2023-01-31,2024-06-27,6,166.47,27.75
245,regular,2023-01-17,2024-09-03,6,188.47,31.41
246,regular,2024-01-22,2024-11-08,6,60.0,10.0
247,premium,2023-01-20,2024-10-11,23,4264.26,185.4
248,premium,2023-04-01,2024-09-25,14,2110.56,150.75
249,regular,2023-02-04,2024-11-17,5,321.19,64.24
250,regular,2023-02-23,2024-11-18,6,238.59,39.77
251,premium,2023-02-26,2024-11-16,21,2782.99,132.52
252,regular,2023-06-11,2024-08-26,6,204.11,34.02
253,regular,2023-09-23,2024-11-10,4,218.16,54.54
254,regular,2024-02-02,2024-09-30,5,260.89,52.18
255,premium,2023-02-07,2024-09-05,24,2768.71,115.36
256,premium,2023-04-06,2024-10-07,20,3735.64,186.78
257,regular,2023-08-03,2024-11-21,6,204.73,34.12
258,regular,2023-11-13,2024-11-14,2,124.73,62.37
259,vip,2023-01-10,2024-11-25,47,21570.35,458.94
260,premium,2023-01-31,2024-11-15,13,2888.36,222.18
261,regular,2023-02-17,2024-11-25,5,239.1,47.82
262,regular,2023-01-09,2024-09-29,9,328.99,36.55
263,regular,2023-01-04,2024-09-20,7,234.94,33.56
264,regular,2023-09-02,2024-08-19,7,409.69,58.53
265,premium,2023-01-24,2024-09-27,19,3307.21,174.06
266,premium,2023-02-07,2024-11-06,15,3262.08,217.47
267,regular,2023-08-12,2024-09-16,3,102.73,34.24
268,premium,2023-01-02,2024-11-23,30,5989.84,199.66
269,regular,2023-04-19,2024-07-06,5,222.59,44.52
270,regular,2023-01-02,2024-07-27,10,566.2,56.62
271,regular,2023-09-27,2024-09-11,5,389.51,77.9
272,premium,2023-03-11,2024-11-12,20,3064.46,153.22
273,regular,2023-05-25,2024-05-28,3,130.81,43.6
274,regular,2023-03-06,2024-11-03,8,543.78,67.97
275,regular,2023-01-09,2024-05-23,4,237.53,59.38
276,premium,2023-01-11,2024-11-09,22,4084.68,185.67
277,regular,2023-05-11,2024-11-02,7,285.47,40.78
278,regular,2023-02-08,2024-09-28,7,386.75,55.25
279,premium,2023-02-19,2024-11-23,19,2519.72,132.62
280,premium,2023-01-24,2024-10-29,20,2980.52,149.03
281,regular,2023-01-14,2024-05-03,9,648.42,72.05
282,regular,2023-10-13,2024-08-28,4,214.28,53.57
283,premium,2023-01-07,2024-09-17,24,4957.26,206.55
284,regular,2023-08-09,2024-11-15,7,326.3,46.61
285,premium,2023-03-01,2024-10-16,15,2248.42,149.89
286,vip,2023-01-29,2024-11-08,40,29741.21,743.53
287,regular,2023-08-13,2024-07-28,6,420.97,70.16
288,regular,2023-11-27,2024-04-24,3,158.66,52.89
289,regular,2023-05-31,2024-08-07,4,87.99,22.0
290,regular,2024-01-10,2024-09-29,5,98.45,19.69
291,regular,2023-02-14,2024-06-04,6,153.45,25.57
292,regular,2023-01-09,2024-01-02,5,194.84,38.97
293,premium,2023-01-17,2024-11-22,18,2238.29,124.35
294,regular,2023-12-04,2024-10-18,4,289.7,72.43
295,premium,2023-01-12,2024-11-03,20,3384.61,169.23
296,premium,2023-01-17,2024-11-13,21,3089.56,147.12
297,vip,2023-01-12,2024-11-16,37,16710.8,451.64
298,vip,2023-03-18,2024-11-19,50,19779.74,395.59
299,premium,2023-02-11,2024-11-26,19,3459.21,182.06
300,regular,2023-04-28,2024-10-12,6,362.77,60.46
301,premium,2023-02-02,2024-11-14,25,2991.86,119.67
302,regular,2023-06-19,2024-06-05,4,146.7,36.67
303,premium,2023-02-04,2024-11-08,23,3810.16,165.66
304,regular,2023-11-19,2024-04-20,3,81.53,27.18
305,regular,2023-04-17,2024-11-20,5,188.59,37.72
306,vip,2023-01-08,2024-10-31,33,14599.94,442.42
307,regular,2023-04-08,2024-11-06,2,87.64,43.82
308,premium,2023-02-18,2024-10-18,23,3772.52,164.02
309,regular,2024-03-09,2024-04-15,2,60.53,30.27
310,regular,2023-04-27,2024-09-11,7,562.7,80.39
311,regular,2023-01-06,2024-01-13,6,242.09,40.35
312,regular,2023-04-11,2024-10-16,7,379.27,54.18
313,premium,2023-05-03,2024-10-05,18,3005.24,166.96
314,regular,2023-01-20,2023-09-27,2,79.48,39.74
315,premium,2023-02-03,2024-10-01,23,3714.19,161.49
316,regular,2023-01-14,2024-10-31,11,802.08,72.92
317,regular,2023-06-06,2024-11-24,9,322.03,35.78
318,regular,2023-01-30,2024-07-07,9,427.0,47.44
319,regular,2024-02-10,2024-06-12,3,175.69,58.56
320,regular,2023-02-03,2024-11-14,7,543.68,77.67
321,regular,2023-03-02,2024-04-26,6,374.3,62.38
322,premium,2023-01-09,2024-11-11,19,3271.42,172.18
323,regular,2023-06-17,2024-02-23,3,139.54,46.51
324,regular,2023-02-08,2024-08-28,6,482.59,80.43
325,regular,2023-02-22,2024-07-13,7,443.76,63.39
326,regular,2023-05-12,2024-11-02,8,159.04,19.88
327,regular,2023-02-16,2024-09-17,3,216.91,72.3
328,regular,2023-02-28,2023-09-28,4,117.17,29.29
329,regular,2023-05-16,2024-03-03,4,141.65,35.41
330,premium,2023-04-14,2024-11-21,21,2876.31,136.97
331,regular,2023-04-13,2024-08-01,10,486.03,48.6
332,regular,2023-01-14,2024-05-02,5,211.99,42.4
333,regular,2023-04-28,2024-09-13,7,268.72,38.39
334,vip,2023-01-09,2024-11-17,44,19481.2,442.75
335,regular,2023-01-13,2024-05-17,4,164.56,41.14
336,regular,2023-07-22,2024-11-06,4,299.45,74.86
337,regular,2023-04-02,2024-04-13,5,421.68,84.34
338,regular,2023-05-30,2024-06-05,5,246.95,49.39
339,premium,2023-03-16,2024-09-02,20,2420.48,121.02
340,regular,2023-01-02,2024-09-29,11,477.62,43.42
341,vip,2023-01-31,2024-11-26,38,11178.29,294.17
342,premium,2023-02-27,2024-11-18,25,3037.15,121.49
343,regular,2023-01-17,2024-11-12,5,262.36,52.47
344,regular,2023-04-20,2024-10-24,12,789.73,65.81
345,regular,2023-08-14,2024-05-12,4,253.79,63.45
346,regular,2023-02-09,2024-11-13,9,479.35,53.26
347,premium,2023-02-08,2024-11-19,18,2488.41,138.24
348,regular,2023-02-23,2024-09-07,10,459.63,45.96
349,regular,2023-04-14,2024-11-12,7,290.59,41.51
350,regular,2023-08-09,2023-11-10,3,126.92,42.31
351,premium,2023-01-07,2024-11-19,19,2806.8,147.73
352,regular,2023-01-17,2024-10-11,5,388.15,77.63
353,premium,2023-03-11,2024-09-26,16,1801.5,112.59
354,premium,2023-02-21,2024-11-25,30,3882.24,129.41
355,regular,2023-01-27,2024-03-05,6,207.69,34.61
356,regular,2023-04-13,2024-11-18,6,465.16,77.53
357,regular,2023-01-27,2024-11-13,8,331.99,41.5
358,regular,2023-03-18,2024-08-27,10,361.85,36.19
359,vip,2023-01-14,2024-11-04,40,22937.97,573.45
360,regular,2023-01-24,2024-08-08,3,194.8,64.93
361,premium,2023-01-12,2024-11-24,22,2502.1,113.73
362,regular,2023-03-13,2024-11-06,11,538.47,48.95
363,regular,2023-09-25,2024-10-17,4,95.94,23.99
364,regular,2023-05-07,2024-11-14,11,645.09,58.64
365,regular,2023-03-25,2024-10-30,11,640.12,58.19
366,premium,2023-01-09,2024-11-04,16,1716.19,107.26
367,regular,2023-08-20,2024-09-29,4,120.58,30.14
368,premium,2023-02-07,2024-06-02,10,1424.38,142.44
369,regular,2023-03-20,2024-05-18,2,121.23,60.62
370,regular,2023-02-15,2023-12-23,6,271.41,45.24
371,regular,2023-01-28,2024-10-16,4,230.94,57.73
372,regular,2023-02-24,2024-09-07,5,161.01,32.2
373,regular,2023-09-28,2024-07-07,4,291.94,72.98
374,premium,2023-02-21,2024-08-13,22,3938.48,179.02
375,regular,2023-03-11,2024-04-19,4,268.04,67.01
376,regular,2023-01-23,2024-11-10,8,461.06,57.63
377,premium,2023-05-14,2024-10-25,13,2322.4,178.65
378,regular,2023-02-06,2024-08-13,6,332.47,55.41
379,premium,2023-01-07,2024-08-26,17,1656.27,97.43
380,regular,2023-02-17,2024-05-27,7,465.3,66.47
381,regular,2023-02-05,2024-07-04,10,275.07,27.51
382,premium,2023-01-12,2024-10-05,13,2014.22,154.94
383,premium,2023-01-27,2024-11-04,16,1826.33,114.15
384,regular,2023-08-02,2024-05-04,5,318.81,63.76
385,regular,2023-04-17,2024-11-21,9,663.02,73.67
386,regular,2024-02-02,2024-08-14,4,125.82,31.45
387,regular,2023-01-13,2024-05-09,3,111.68,37.23
388,regular,2023-02-10,2024-05-10,5,90.66,18.13
389,vip,2023-01-07,2024-10-03,31,17907.31,577.66
390,regular,2023-04-26,2024-11-26,7,345.02,49.29
391,regular,2023-01-13,2024-10-13,4,227.82,56.95
392,regular,2023-02-03,2024-10-26,8,579.45,72.43
393,regular,2023-06-17,2024-11-09,8,296.32,37.04
394,premium,2023-01-20,2024-11-15,19,2540.36,133.7
395,regular,2023-08-27,2024-11-04,4,205.77,51.44
396,regular,2023-06-10,2024-11-17,7,464.03,66.29
397,regular,2023-03-02,2024-04-24,7,302.82,43.26
398,regular,2023-02-17,2024-09-11,8,362.17,45.27
399,regular,2023-04-24,2024-10-02,8,476.85,59.61
400,premium,2023-01-14,2024-10-22,17,3237.06,190.42
401,regular,2023-03-18,2024-11-01,6,438.45,73.08
402,regular,2023-03-14,2024-05-28,4,221.83,55.46
403,regular,2023-09-15,2024-10-11,5,245.43,49.09
404,premium,2023-01-18,2024-10-06,21,3104.62,147.84
405,premium,2023-01-21,2024-10-26,18,2657.0,147.61
406,vip,2023-01-22,2024-11-18,44,27266.39,619.69
407,vip,2023-01-02,2024-11-12,40,21928.5,548.21
408,vip,2023-02-13,2024-10-23,48,30152.9,628.19
409,regular,2023-01-30,2024-05-19,5,171.69,34.34
410,regular,2023-09-07,2024-09-16,4,225.26,56.32
411,regular,2023-03-08,2024-06-24,7,430.4,61.49
412,premium,2023-01-14,2024-11-11,30,4722.9,157.43
413,regular,2024-04-07,2024-10-13,4,233.14,58.29
414,regular,2023-01-10,2024-09-05,11,342.3,31.12
415,regular,2023-04-13,2024-09-19,5,203.96,40.79
416,regular,2023-06-21,2024-10-20,9,397.62,44.18
417,vip,2023-01-03,2024-11-10,43,22371.96,520.28
418,regular,2023-03-16,2024-05-19,7,384.99,55.0
419,regular,2023-04-28,2024-10-17,8,273.46,34.18
420,premium,2023-02-26,2024-11-26,25,2027.75,81.11
421,regular,2023-04-03,2023-10-25,3,114.4,38.13
422,vip,2023-01-20,2024-11-26,36,23523.46,653.43
423,regular,2023-02-24,2024-10-03,8,332.69,41.59
424,regular,2023-05-12,2024-03-14,4,256.85,64.21
425,regular,2023-03-26,2024-11-23,8,583.59,72.95
426,regular,2023-01-12,2024-07-17,6,252.81,42.14
427,regular,2023-05-11,2024-11-01,3,135.83,45.28
428,premium,2023-01-03,2024-11-24,21,3337.68,158.94
429,regular,2023-02-06,2024-11-06,6,241.69,40.28
430,regular,2024-02-02,2024-09-16,4,265.94,66.49
431,premium,2023-01-04,2024-10-29,17,2509.19,147.6
432,premium,2023-04-23,2024-10-26,16,2376.34,148.52
433,regular,2023-03-09,2024-11-02,4,110.71,27.68
434,premium,2023-01-22,2024-09-17,24,2837.96,118.25
435,regular,2023-02-25,2024-03-10,6,418.34,69.72
436,regular,2023-03-24,2024-10-29,4,207.86,51.97
437,regular,2023-10-30,2024-02-09,2,38.42,19.21
438,regular,2023-03-31,2024-09-14,7,210.98,30.14
439,regular,2023-02-08,2024-08-12,10,410.07,41.01
440,premium,2023-01-07,2024-11-04,25,4433.89,177.36
441,regular,2023-03-03,2024-11-12,10,221.85,22.19
442,regular,2023-03-15,2024-11-25,6,415.18,69.2
443,regular,2023-01-05,2024-05-17,4,212.28,53.07
444,premium,2023-02-15,2024-11-08,20,3114.03,155.7
445,regular,2023-04-28,2024-11-01,7,188.47,26.92
446,regular,2023-08-11,2024-07-16,4,164.85,41.21
447,regular,2023-04-11,2024-11-25,10,348.7,34.87
448,regular,2023-03-27,2024-07-08,7,485.47,69.35
449,premium,2023-01-30,2024-11-20,16,1641.16,102.57
450,regular,2023-05-27,2024-06-17,8,303.79,37.97
451,premium,2023-04-11,2024-11-17,18,3731.32,207.3
452,regular,2023-04-14,2024-09-12,8,414.4,51.8
453,regular,2023-04-21,2024-08-31,5,194.25,38.85
454,premium,2023-03-05,2024-09-10,16,2489.6,155.6
455,regular,2023-05-23,2024-08-30,4,201.28,50.32
456,regular,2023-01-15,2024-10-09,8,348.32,43.54
457,regular,2023-06-06,2023-11-25,5,186.93,37.39
458,regular,2023-12-14,2024-05-13,3,199.22,66.41
459,regular,2023-04-08,2024-10-08,6,229.78,38.3
460,regular,2023-06-19,2024-09-29,9,388.01,43.11
461,regular,2023-02-18,2024-10-26,6,511.16,85.19
462,regular,2023-12-29,2024-11-09,3,99.58,33.19
463,regular,2023-10-09,2024-09-23,4,157.25,39.31
464,regular,2023-01-13,2024-01-06,3,146.44,48.81
465,regular,2023-04-06,2024-08-01,6,368.78,61.46
466,regular,2023-05-01,2024-08-21,4,159.48,39.87
467,regular,2023-02-13,2024-10-16,7,313.68,44.81
468,regular,2023-01-29,2024-08-02,7,397.88,56.84
469,premium,2023-01-08,2024-11-04,18,3642.31,202.35
470,regular,2023-02-19,2023-07-07,3,220.7,73.57
471,premium,2023-01-28,2024-11-12,19,3496.35,184.02
472,regular,2023-05-08,2024-04-03,4,68.73,17.18
473,regular,2023-02-03,2024-04-27,5,484.94,96.99
474,regular,2023-05-07,2024-03-21,5,242.79,48.56
475,regular,2023-09-27,2024-06-10,5,167.39,33.48
