customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_segment,is_high_value,segment_category
164,64,17,3024.73,3,4,5,345,1,Potential Loyalists
165,58,6,144.22,3,2,1,321,0,Others
166,35,3,158.44,4,1,1,411,0,New Customers
167,45,10,481.02,3,4,4,344,1,Potential Loyalists
168,8,24,2961.8,5,5,5,555,1,Champions
169,7,13,2264.54,5,4,4,544,1,Champions
170,3,15,2694.32,5,4,5,545,1,Champions
171,98,7,408.83,2,3,3,233,1,At Risk
172,347,3,69.53,1,1,1,111,0,Lost
173,132,7,495.75,2,3,4,234,1,At Risk
174,59,5,296.52,3,1,2,312,0,Others
175,52,8,293.4,3,3,2,332,0,Others
176,10,28,3012.93,5,5,5,555,1,Champions
177,548,3,177.49,1,1,1,111,0,Lost
178,1,10,685.52,5,4,4,544,1,Champions
179,94,16,2273.5,2,4,4,244,1,At Risk
180,46,17,2766.38,3,4,5,345,1,Potential Loyalists
181,301,5,103.06,1,1,1,111,0,Lost
182,71,20,1466.25,3,5,4,354,1,Potential Loyalists
183,149,6,301.78,1,2,2,122,0,Lost
184,112,9,347.71,2,4,3,243,0,At Risk
185,57,6,384.75,3,2,3,323,1,Others
186,13,23,3867.2,5,5,5,555,1,Champions
187,169,4,269.71,1,1,2,112,0,Lost
188,11,6,229.78,5,2,2,522,0,New Customers
189,226,5,136.76,1,1,1,111,0,Lost
190,63,26,4965.78,3,5,5,355,1,Potential Loyalists
191,19,20,1914.53,4,5,4,454,1,Champions
192,57,19,3029.12,3,5,5,355,1,Potential Loyalists
193,198,4,98.27,1,1,1,111,0,Lost
194,17,28,2371.69,4,5,4,454,1,Champions
195,1,8,343.53,5,3,3,533,0,Loyal Customers
196,45,21,2135.4,3,5,4,354,1,Potential Loyalists
197,57,8,566.87,3,3,4,334,1,Potential Loyalists
198,91,3,146.28,2,1,1,211,0,Lost
199,166,5,337.98,1,1,3,113,0,Lost
200,92,5,258.55,2,1,2,212,0,Lost
201,187,2,83.88,1,1,1,111,0,Lost
202,3,7,325.53,5,3,3,533,0,Loyal Customers
203,49,23,3491.93,3,5,5,355,1,Potential Loyalists
204,14,5,271.45,5,1,2,512,0,New Customers
205,220,3,98.95,1,1,1,111,0,Lost
206,404,5,406.45,1,1,3,113,1,Lost
207,216,4,258.09,1,1,2,112,0,Lost
208,7,7,389.66,5,3,3,533,1,Loyal Customers
209,21,14,2236.27,4,4,4,444,1,Champions
210,59,2,63.91,3,1,1,311,0,Others
211,12,17,2613.49,5,4,4,544,1,Champions
212,172,6,256.27,1,2,2,122,0,Lost
213,26,20,2331.17,4,5,4,454,1,Champions
214,83,3,173.41,2,1,1,211,0,Lost
215,50,17,2065.76,3,4,4,344,1,Potential Loyalists
216,51,5,264.74,3,1,2,312,0,Others
217,20,32,18782.6,4,5,5,455,1,Champions
218,16,20,3558.0,5,5,5,555,1,Champions
219,7,23,2961.3,5,5,5,555,1,Champions
220,26,7,258.99,4,3,2,432,0,Loyal Customers
221,37,18,2453.2,4,4,4,444,1,Champions
222,15,20,3244.4,5,5,5,555,1,Champions
223,63,5,90.5,3,1,1,311,0,Others
224,367,1,21.94,1,1,1,111,0,Lost
225,105,10,495.49,2,4,4,244,1,At Risk
226,9,14,546.78,5,4,4,544,1,Champions
227,164,5,148.36,1,1,1,111,0,Lost
228,103,10,378.03,2,4,3,243,1,At Risk
229,47,4,345.95,3,1,3,313,0,Others
230,136,6,408.14,2,2,3,223,1,Lost
231,34,42,26735.5,4,5,5,455,1,Champions
232,11,19,1814.41,5,5,4,554,1,Champions
233,10,8,321.54,5,3,3,533,0,Loyal Customers
234,46,5,298.6,3,1,2,312,0,Others
235,12,28,4266.64,5,5,5,555,1,Champions
236,71,6,224.75,3,2,2,322,0,Others
237,148,4,115.45,1,1,1,111,0,Lost
238,311,4,316.7,1,1,3,113,0,Lost
239,138,4,103.66,2,1,1,211,0,Lost
240,48,22,3663.6,3,5,5,355,1,Potential Loyalists
241,65,25,3408.77,3,5,5,355,1,Potential Loyalists
242,99,5,206.16,2,1,2,212,0,Lost
243,1,7,430.3,5,3,3,533,1,Loyal Customers
244,153,6,166.47,1,2,1,121,0,Lost
245,85,6,188.47,2,2,1,221,0,Lost
246,19,6,60.0,4,2,1,421,0,New Customers
247,47,22,4264.26,3,5,5,355,1,Potential Loyalists
248,63,12,2110.56,3,4,4,344,1,Potential Loyalists
249,10,5,321.19,5,1,3,513,0,New Customers
250,9,6,238.59,5,2,2,522,0,New Customers
251,11,19,2782.99,5,5,5,555,1,Champions
252,93,6,204.11,2,2,2,222,0,Lost
253,17,4,218.16,4,1,2,412,0,New Customers
254,58,5,260.89,3,1,2,312,0,Others
255,83,24,2768.71,2,5,5,255,1,At Risk
256,51,20,3735.64,3,5,5,355,1,Potential Loyalists
257,6,6,204.73,5,2,2,522,0,New Customers
258,13,2,124.73,5,1,1,511,0,New Customers
259,2,45,21570.35,5,5,5,555,1,Champions
260,12,13,2888.36,5,4,5,545,1,Champions
261,2,5,239.1,5,1,2,512,0,New Customers
262,59,9,328.99,3,4,3,343,0,Others
263,68,7,234.94,3,3,2,332,0,Others
264,100,7,409.69,2,3,3,233,1,At Risk
265,61,18,3307.21,3,4,5,345,1,Potential Loyalists
266,21,14,3262.08,4,4,5,445,1,Champions
267,72,3,102.73,3,1,1,311,0,Others
268,4,28,5989.84,5,5,5,555,1,Champions
269,144,5,222.59,2,2,2,222,0,Lost
270,123,10,566.2,2,4,4,244,1,At Risk
271,77,5,389.51,2,2,3,223,1,Lost
272,15,20,3064.46,5,5,5,555,1,Champions
273,183,3,130.81,1,1,1,111,0,Lost
274,24,8,543.78,4,3,4,434,1,Loyal Customers
275,188,4,237.53,1,1,2,112,0,Lost
276,18,22,4084.68,4,5,5,455,1,Champions
277,25,7,285.47,4,3,2,432,0,Loyal Customers
278,60,7,386.75,3,3,3,333,1,Others
279,4,19,2519.72,5,5,4,554,1,Champions
280,29,20,2980.52,4,5,5,455,1,Champions
281,208,9,648.42,1,4,4,144,1,At Risk
282,91,4,214.28,2,1,2,212,0,Lost
283,71,23,4957.26,3,5,5,355,1,Potential Loyalists
284,12,7,326.3,5,3,3,533,0,Loyal Customers
285,42,14,2248.42,3,4,4,344,1,Potential Loyalists
286,19,39,29741.21,4,5,5,455,1,Champions
287,122,6,420.97,2,2,3,223,1,Lost
288,217,3,158.66,1,1,1,111,0,Lost
289,112,4,87.99,2,1,1,211,0,Lost
290,59,5,98.45,3,2,1,321,0,Others
291,176,6,153.45,1,2,1,121,0,Lost
292,330,5,194.84,1,2,1,121,0,Lost
293,5,18,2238.29,5,4,4,544,1,Champions
294,40,4,289.7,4,1,2,412,0,New Customers
295,24,20,3384.61,4,5,5,455,1,Champions
296,14,21,3089.56,5,5,5,555,1,Champions
297,11,37,16710.8,5,5,5,555,1,Champions
298,8,49,19779.74,5,5,5,555,1,Champions
299,1,18,3459.21,5,4,5,545,1,Champions
300,46,6,362.77,3,2,3,323,0,Others
301,13,25,2991.86,5,5,5,555,1,Champions
302,175,4,146.7,1,1,1,111,0,Lost
303,19,22,3810.16,4,5,5,455,1,Champions
304,221,3,81.53,1,1,1,111,0,Lost
305,7,5,188.59,5,2,1,521,0,New Customers
306,27,33,14599.94,4,5,5,455,1,Champions
307,21,2,87.64,4,1,1,411,0,New Customers
308,40,23,3772.52,4,5,5,455,1,Champions
309,226,2,60.53,1,1,1,111,0,Lost
310,77,7,562.7,2,3,4,234,1,At Risk
311,319,6,242.09,1,2,2,122,0,Lost
312,42,7,379.27,3,3,3,333,1,Others
313,53,17,3005.24,3,4,5,345,1,Potential Loyalists
314,427,2,79.48,1,1,1,111,0,Lost
315,57,23,3714.19,3,5,5,355,1,Potential Loyalists
316,27,11,802.08,4,4,4,444,1,Champions
317,3,9,322.03,5,4,3,543,0,Loyal Customers
318,143,9,427.0,2,4,3,243,1,At Risk
319,168,3,175.69,1,1,1,111,0,Lost
320,13,7,543.68,5,3,4,534,1,Loyal Customers
321,215,6,374.3,1,2,3,123,1,Lost
322,16,19,3271.42,5,5,5,555,1,Champions
323,278,3,139.54,1,1,1,111,0,Lost
324,91,6,482.59,2,2,4,224,1,Lost
325,137,7,443.76,2,3,3,233,1,At Risk
326,25,8,159.04,4,3,1,431,0,Loyal Customers
327,71,3,216.91,3,1,2,312,0,Others
328,426,4,117.17,1,1,1,111,0,Lost
329,269,4,141.65,1,1,1,111,0,Lost
330,6,21,2876.31,5,5,5,555,1,Champions
331,118,10,486.03,2,4,4,244,1,At Risk
332,209,5,211.99,1,2,2,122,0,Lost
333,75,7,268.72,3,3,2,332,0,Others
334,10,41,19481.2,5,5,5,555,1,Champions
335,194,4,164.56,1,1,1,111,0,Lost
336,21,4,299.45,4,1,2,412,0,New Customers
337,228,5,421.68,1,2,3,123,1,Lost
338,175,5,246.95,1,2,2,122,0,Lost
339,86,19,2420.48,2,5,4,254,1,At Risk
340,59,11,477.62,3,4,4,344,1,Potential Loyalists
341,1,37,11178.29,5,5,5,555,1,Champions
342,9,25,3037.15,5,5,5,555,1,Champions
343,15,5,262.36,5,2,2,522,0,New Customers
344,34,12,789.73,4,4,4,444,1,Champions
345,199,4,253.79,1,1,2,112,0,Lost
346,14,9,479.35,5,4,4,544,1,Champions
347,8,17,2488.41,5,4,4,544,1,Champions
348,81,10,459.63,2,4,3,243,1,At Risk
349,15,7,290.59,5,3,2,532,0,Loyal Customers
350,383,3,126.92,1,1,1,111,0,Lost
351,8,18,2806.8,5,4,5,545,1,Champions
352,47,5,388.15,3,2,3,323,1,Others
353,62,16,1801.5,3,4,4,344,1,Potential Loyalists
354,2,30,3882.24,5,5,5,555,1,Champions
355,267,6,207.69,1,2,2,122,0,Lost
356,9,6,465.16,5,2,3,523,1,New Customers
357,14,7,331.99,5,3,3,533,0,Loyal Customers
358,92,10,361.85,2,4,3,243,0,At Risk
359,23,37,22937.97,4,5,5,455,1,Champions
360,111,3,194.8,2,1,1,211,0,Lost
361,3,22,2502.1,5,5,4,554,1,Champions
362,21,11,538.47,4,4,4,444,1,Champions
363,41,4,95.94,3,1,1,311,0,Others
364,13,11,645.09,5,4,4,544,1,Champions
365,28,11,640.12,4,4,4,444,1,Champions
366,23,16,1716.19,4,4,4,444,1,Champions
367,59,4,120.58,3,1,1,311,0,Others
368,178,10,1424.38,1,4,4,144,1,At Risk
369,193,2,121.23,1,1,1,111,0,Lost
370,340,6,271.41,1,2,2,122,0,Lost
371,42,4,230.94,3,1,2,312,0,Others
372,81,5,161.01,2,2,1,221,0,Lost
373,143,4,291.94,2,1,2,212,0,Lost
374,106,21,3938.48,2,5,5,255,1,At Risk
375,222,4,268.04,1,1,2,112,0,Lost
376,17,8,461.06,4,3,3,433,1,Loyal Customers
377,33,13,2322.4,4,4,4,444,1,Champions
378,106,6,332.47,2,2,3,223,0,Lost
379,93,17,1656.27,2,4,4,244,1,At Risk
380,184,7,465.3,1,3,3,133,1,At Risk
381,146,10,275.07,1,4,2,142,0,At Risk
382,53,13,2014.22,3,4,4,344,1,Potential Loyalists
383,23,16,1826.33,4,4,4,444,1,Champions
384,207,5,318.81,1,2,3,123,0,Lost
385,6,9,663.02,5,4,4,544,1,Champions
386,105,3,125.82,2,1,1,211,0,Lost
387,202,3,111.68,1,1,1,111,0,Lost
388,201,5,90.66,1,2,1,121,0,Lost
389,55,29,17907.31,3,5,5,355,1,Potential Loyalists
390,1,7,345.02,5,3,3,533,0,Loyal Customers
391,45,4,227.82,3,1,2,312,0,Others
392,32,8,579.45,4,3,4,434,1,Loyal Customers
393,18,8,296.32,4,3,2,432,0,Loyal Customers
394,12,19,2540.36,5,5,4,554,1,Champions
395,23,4,205.77,4,1,2,412,0,New Customers
396,10,7,464.03,5,3,3,533,1,Loyal Customers
397,217,7,302.82,1,3,2,132,0,At Risk
398,77,8,362.17,2,3,3,233,0,At Risk
399,56,8,476.85,3,3,4,334,1,Potential Loyalists
400,36,17,3237.06,4,4,5,445,1,Champions
401,26,6,438.45,4,2,3,423,1,New Customers
402,183,4,221.83,1,1,2,112,0,Lost
403,47,5,245.43,3,2,2,322,0,Others
404,52,21,3104.62,3,5,5,355,1,Potential Loyalists
405,32,17,2657.0,4,4,5,445,1,Champions
406,9,42,27266.39,5,5,5,555,1,Champions
407,15,40,21928.5,5,5,5,555,1,Champions
408,35,47,30152.9,4,5,5,455,1,Champions
409,192,5,171.69,1,2,1,121,0,Lost
410,72,4,225.26,3,1,2,312,0,Others
411,156,7,430.4,1,3,3,133,1,At Risk
412,16,30,4722.9,5,5,5,555,1,Champions
413,45,4,233.14,3,1,2,312,0,Others
414,83,11,342.3,2,4,3,243,0,At Risk
415,69,5,203.96,3,2,2,322,0,Others
416,38,9,397.62,4,4,3,443,1,Loyal Customers
417,17,41,22371.96,4,5,5,455,1,Champions
418,192,7,384.99,1,3,3,133,1,At Risk
419,41,8,273.46,3,3,2,332,0,Others
420,1,24,2027.75,5,5,4,554,1,Champions
421,399,3,114.4,1,1,1,111,0,Lost
422,1,34,23523.46,5,5,5,555,1,Champions
423,55,8,332.69,3,3,3,333,0,Others
424,258,4,256.85,1,1,2,112,0,Lost
425,4,8,583.59,5,3,4,534,1,Loyal Customers
426,133,6,252.81,2,2,2,222,0,Lost
427,26,3,135.83,4,1,1,411,0,New Customers
428,3,20,3337.68,5,5,5,555,1,Champions
429,21,6,241.69,4,2,2,422,0,New Customers
430,72,4,265.94,3,1,2,312,0,Others
431,29,17,2509.19,4,4,4,444,1,Champions
432,32,16,2376.34,4,4,4,444,1,Champions
433,25,4,110.71,4,1,1,411,0,New Customers
434,71,24,2837.96,3,5,5,355,1,Potential Loyalists
435,262,6,418.34,1,2,3,123,1,Lost
436,29,4,207.86,4,1,2,412,0,New Customers
437,292,2,38.42,1,1,1,111,0,Lost
438,74,7,210.98,3,3,2,332,0,Others
439,107,10,410.07,2,4,3,243,1,At Risk
440,23,24,4433.89,4,5,5,455,1,Champions
441,15,10,221.85,5,4,2,542,0,Loyal Customers
442,2,6,415.18,5,2,3,523,1,New Customers
443,194,4,212.28,1,1,2,112,0,Lost
444,19,20,3114.03,4,5,5,455,1,Champions
445,26,7,188.47,4,3,1,431,0,Loyal Customers
446,134,4,164.85,2,1,1,211,0,Lost
447,2,10,348.7,5,4,3,543,0,Loyal Customers
448,142,7,485.47,2,3,4,234,1,At Risk
449,7,16,1641.16,5,4,4,544,1,Champions
450,163,8,303.79,1,3,2,132,0,At Risk
451,10,18,3731.32,5,4,5,545,1,Champions
452,76,8,414.4,2,3,3,233,1,At Risk
453,88,5,194.25,2,2,1,221,0,Lost
454,78,16,2489.6,2,4,4,244,1,At Risk
455,89,4,201.28,2,1,2,212,0,Lost
456,49,8,348.32,3,3,3,333,0,Others
457,368,5,186.93,1,2,1,121,0,Lost
458,198,3,199.22,1,1,1,111,0,Lost
459,50,6,229.78,3,2,2,322,0,Others
460,59,9,388.01,3,4,3,343,1,Others
461,32,6,511.16,4,2,4,424,1,Potential Loyalists
462,18,3,99.58,4,1,1,411,0,New Customers
463,65,4,157.25,3,1,1,311,0,Others
464,326,3,146.44,1,1,1,111,0,Lost
465,118,6,368.78,2,2,3,223,0,Lost
466,98,4,159.48,2,1,1,211,0,Lost
467,42,7,313.68,3,3,3,333,0,Others
468,117,7,397.88,2,3,3,233,1,At Risk
469,23,18,3642.31,4,4,5,445,1,Champions
470,509,3,220.7,1,1,2,112,0,Lost
471,15,19,3496.35,5,5,5,555,1,Champions
472,238,4,68.73,1,1,1,111,0,Lost
473,214,5,484.94,1,2,4,124,1,Lost
474,251,5,242.79,1,2,2,122,0,Lost
475,170,5,167.39,1,2,1,121,0,Lost
476,95,6,303.01,2,2,2,222,0,Lost
477,4,4,186.57,5,1,1,511,0,New Customers
478,223,6,238.16,1,2,2,122,0,Lost
479,3,41,13811.68,5,5,5,555,1,Champions
480,173,9,559.77,1,4,4,144,1,At Risk
481,14,6,292.14,5,2,2,522,0,New Customers
482,41,18,2612.94,3,4,4,344,1,Potential Loyalists
483,83,2,72.37,2,1,1,211,0,Lost
484,10,3,235.5,5,1,2,512,0,New Customers
485,146,4,182.53,1,1,1,111,0,Lost
486,29,8,396.3,4,3,3,433,1,Loyal Customers
487,33,13,1932.89,4,4,4,444,1,Champions
488,320,7,234.4,1,3,2,132,0,At Risk
489,149,5,237.39,1,2,2,122,0,Lost
490,206,8,245.14,1,3,2,132,0,At Risk
491,73,3,180.96,3,1,1,311,0,Others
492,19,21,3485.63,4,5,5,455,1,Champions
493,3,5,267.08,5,2,2,522,0,New Customers
494,1,38,20995.19,5,5,5,555,1,Champions
495,126,4,220.07,2,1,2,212,0,Lost
496,8,8,143.3,5,3,1,531,0,Loyal Customers
497,32,10,576.89,4,4,4,444,1,Champions
498,544,2,129.48,1,1,1,111,0,Lost
499,63,6,393.68,3,2,3,323,1,Others
500,213,7,209.8,1,3,2,132,0,At Risk
501,125,7,307.38,2,3,2,232,0,At Risk
502,97,9,375.74,2,4,3,243,1,At Risk
503,114,5,337.0,2,2,3,223,0,Lost
504,44,6,185.53,3,2,1,321,0,Others
505,44,9,438.0,3,4,3,343,1,Others
506,256,6,328.75,1,2,3,123,0,Lost
507,114,6,437.09,2,2,3,223,1,Lost
508,64,3,110.76,3,1,1,311,0,Others
509,7,40,21220.85,5,5,5,555,1,Champions
510,98,8,611.09,2,3,4,234,1,At Risk
511,136,5,245.89,2,2,2,222,0,Lost
512,35,23,3497.99,4,5,5,455,1,Champions
513,16,6,305.1,5,2,2,522,0,New Customers
514,52,24,1914.39,3,5,4,354,1,Potential Loyalists
515,160,5,191.1,1,2,1,121,0,Lost
516,1,5,185.48,5,2,1,521,0,New Customers
517,75,19,2743.24,3,5,5,355,1,Potential Loyalists
518,21,5,206.51,4,2,2,422,0,New Customers
519,16,25,1961.38,5,5,4,554,1,Champions
520,42,20,2917.2,3,5,5,355,1,Potential Loyalists
521,160,2,91.02,1,1,1,111,0,Lost
522,8,5,228.97,5,2,2,522,0,New Customers
523,199,6,299.27,1,2,2,122,0,Lost
524,285,5,435.21,1,2,3,123,1,Lost
525,103,4,134.65,2,1,1,211,0,Lost
526,17,47,22037.77,4,5,5,455,1,Champions
527,16,16,2282.34,5,4,4,544,1,Champions
528,98,4,96.91,2,1,1,211,0,Lost
529,48,19,2639.53,3,5,4,354,1,Potential Loyalists
530,137,5,348.51,2,2,3,223,0,Lost
531,42,3,129.77,3,1,1,311,0,Others
532,238,9,292.46,1,4,2,142,0,At Risk
533,74,9,399.67,3,4,3,343,1,Others
534,6,5,264.92,5,2,2,522,0,New Customers
535,57,7,378.59,3,3,3,333,1,Others
536,349,4,199.83,1,1,2,112,0,Lost
537,23,23,4289.89,4,5,5,455,1,Champions
538,17,20,3299.78,4,5,5,455,1,Champions
539,344,5,338.24,1,2,3,123,0,Lost
540,100,9,383.65,2,4,3,243,1,At Risk
541,112,7,333.02,2,3,3,233,0,At Risk
542,1,5,195.71,5,2,1,521,0,New Customers
543,238,3,218.46,1,1,2,112,0,Lost
544,80,4,242.18,2,1,2,212,0,Lost
545,35,9,577.1,4,4,4,444,1,Champions
546,197,3,110.38,1,1,1,111,0,Lost
547,209,5,161.91,1,2,1,121,0,Lost
548,79,3,74.07,2,1,1,211,0,Lost
549,24,18,3926.77,4,4,5,445,1,Champions
550,96,7,373.93,2,3,3,233,0,At Risk
551,123,10,379.51,2,4,3,243,1,At Risk
552,78,5,173.65,2,2,1,221,0,Lost
553,37,19,2218.15,4,5,4,454,1,Champions
554,50,3,94.56,3,1,1,311,0,Others
